file_id,id,time,jd,mjd,ra_hours,dec_degs,x,y,telescope,filter,exp_length,mag,mag_error,zero_point,flux,flux_error,pm_sky,pm_epoch,pm_pos_angle_sky,zero_point_correction,zero_point_error,calibrated_zero_point,calibrated_mag
2308734,SRC302,2026-04-16 20:27:33.000,2461147.5191319445,61147.019131944515,13.4243446607091,-43.03830432739498,509.95213569130624,630.4602485769531,Prompt5,B,50,10.072851639269514,0.0015866782856852287,20,467551.3858706889,683.7719503854532,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.011602029827962568,21.147479235268374,11.220330874537888
2308734,SRC303,2026-04-16 20:27:33.000,2461147.5191319445,61147.019131944515,13.421093036259247,-43.038447441844596,719.6180541911364,640.0440224311338,Prompt5,B,50,16.47374017223852,,20,1286.6900288961212,0,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.011602029827962568,21.147479235268374,17.621219407506896
2308734,SRC304,2026-04-16 20:27:33.000,2461147.5191319445,61147.019131944515,13.422943627878063,-43.039855535432544,599.9270564721139,643.3367664303611,Prompt5,B,50,17.220572063647296,,20,646.7570610485907,0,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.011602029827962568,21.147479235268374,18.36805129891567
2308734,SRC305,2026-04-16 20:27:33.000,2461147.5191319445,61147.019131944515,13.42556223876062,-43.04362143202242,430.139751897219,658.4960391384569,Prompt5,B,50,17.70685200532183,,20,413.26554847540535,0,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.011602029827962568,21.147479235268374,18.854331240590206
2308734,SRC306,2026-04-16 20:27:33.000,2461147.5191319445,61147.019131944515,13.42037780911228,-43.04080130547604,765.1601484034665,655.8293139897411,Prompt5,B,50,14.987878340747866,0.006265329332830695,20,5056.135079660257,29.26118573581443,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.011602029827962568,21.147479235268374,16.13535757601624
2308734,SRC307,2026-04-16 20:27:33.000,2461147.5191319445,61147.019131944515,13.424454158165625,-43.04319563580385,501.69988745762316,658.9408782756327,Prompt5,B,50,16.250853506058235,,20,1579.8963724112966,0,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.011602029827962568,21.147479235268374,17.39833274132661
2308734,SRC308,2026-04-16 20:27:33.000,2461147.5191319445,61147.019131944515,13.417845175010843,-43.04149941576474,928.3071396588099,666.8496582565568,Prompt5,B,50,16.982127955595338,,20,805.5988212692166,0,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.011602029827962568,21.147479235268374,18.129607190863712
2308734,SRC309,2026-04-16 20:27:33.000,2461147.5191319445,61147.019131944515,13.417507669429876,-43.04171181870041,950.0181127495159,669.0259863008696,Prompt5,B,50,17.10541126932089,,20,719.1268372867555,0,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.011602029827962568,21.147479235268374,18.252890504589264
2308734,SRC310,2026-04-16 20:27:33.000,2461147.5191319445,61147.019131944515,13.426411908458538,-43.047295452578304,374.4602362222925,677.8564812527388,Prompt5,B,50,16.965100080893393,,20,818.3328250282916,0,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.011602029827962568,21.147479235268374,18.112579316161767
2308734,SRC311,2026-04-16 20:27:33.000,2461147.5191319445,61147.019131944515,13.42376261598501,-43.04605083123867,545.5981712890393,677.5843237051231,Prompt5,B,50,16.69202692863339,,20,1052.347643480293,0,0,2026-04-11 20:22:04.000,0,1.1474792352683736,0.011602029827962568,21.147479235268374,17.839506163901763
